period;position;party;name;n.position;interval;date;month;check;dupes;check2
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-08-01;2;  20;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-09-01;2;  21;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-10-01;2;  22;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-11-01;2;  23;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-12-01;2;  24;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1999-01-01;2;  25;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;date.start;1997-01-03;1997-01-01;1;  42;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-02-01;1;  43;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-03-01;1;  44;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-04-01;1;  45;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-05-01;1;  46;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-06-01;1;  47;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-07-01;1;  48;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-08-01;1;  49;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-09-01;1;  50;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-10-01;1;  51;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-11-01;1;  52;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-12-01;1;  53;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-01-01;1;  54;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-02-01;1;  55;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-03-01;1;  56;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-04-01;1;  57;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-05-01;1;  58;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-06-01;1;  59;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-07-01;1;  60;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-08-01;1;  61;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-09-01;1;  62;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-10-01;1;  63;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-11-01;1;  64;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1998-12-01;1;  65;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-01-01;1;  66;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;date.start;1997-01-03;1997-01-01;1; 307;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-02-01;1; 308;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-03-01;1; 309;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-04-01;1; 310;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-05-01;1; 311;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-06-01;1; 312;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-07-01;1; 313;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-08-01;1; 314;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-09-01;1; 315;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-10-01;1; 316;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-11-01;1; 317;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1997-12-01;1; 318;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-01-01;1; 319;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-02-01;1; 320;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-03-01;1; 321;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-04-01;1; 322;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-05-01;1; 323;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-06-01;1; 324;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-07-01;1; 325;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-08-01;1; 326;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-09-01;1; 327;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-10-01;1; 328;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-11-01;1; 329;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1998-12-01;1; 330;0
RAZDOBLJE 1996. – 1998. godine;Civil Affairs;SDS;SPASOJE ALBIJANIĆ;1;NA;NA;1999-01-01;1; 331;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;date.start;1997-01-03;1997-01-01;1; 572;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-02-01;1; 573;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-03-01;1; 574;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-04-01;1; 575;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-05-01;1; 576;0
RAZDOBLJE 1996. – 1998. godine;Foreign Affairs;HDZ;Dr. JADRANKO PRLIĆ;1;NA;NA;1997-06-01;1; 577;0
