id;value;id2
"c(""110725_1.png"", ""110725_2.png"")";110725_2.png;110725
"c(""110726_1.png"", ""110726_2.png"")";110726_1.png;110726
"c(""110726_1.png"", ""110726_2.png"")";110726_2.png;110726
"c(""112060_1.png"", ""112060_2.png"")";112060_1.png;112060
"c(""112060_1.png"", ""112060_2.png"")";112060_2.png;112060
"c(""112061_1.png"", ""112061_2.png"")";112061_1.png;112061
"c(""112061_1.png"", ""112061_2.png"")";112061_2.png;112061
"c(""112062_1.png"", ""112062_2.png"")";112062_1.png;112062
"c(""112062_1.png"", ""112062_2.png"")";112062_2.png;112062
"c(""112063_1.png"", ""112063_2.png"")";112063_1.png;112063
"c(""112063_1.png"", ""112063_2.png"")";112063_2.png;112063
"c(""112064_1.png"", ""112064_2.png"")";112064_1.png;112064
"c(""112064_1.png"", ""112064_2.png"")";112064_2.png;112064
"c(""112065_1.png"", ""112065_2.png"")";112065_1.png;112065
"c(""112065_1.png"", ""112065_2.png"")";112065_2.png;112065
"c(""112066_1.png"", ""112066_2.png"")";112066_1.png;112066
"c(""112066_1.png"", ""112066_2.png"")";112066_2.png;112066
"c(""112067_1.png"", ""112067_2.png"")";112067_1.png;112067
"c(""112067_1.png"", ""112067_2.png"")";112067_2.png;112067
"c(""112077_1.png"", ""112077_2.png"")";112077_1.png;112077
"c(""112077_1.png"", ""112077_2.png"")";112077_2.png;112077
"c(""112078_1.png"", ""112078_2.png"")";112078_1.png;112078
"c(""112078_1.png"", ""112078_2.png"")";112078_2.png;112078
112392_1.png;112392_1.png;112392
112393_1.png;112393_1.png;112393
112394_1.png;112394_1.png;112394
112395_1.png;112395_1.png;112395
112396_1.png;112396_1.png;112396
112397_1.png;112397_1.png;112397
112398_1.png;112398_1.png;112398
112399_1.png;112399_1.png;112399
112400_1.png;112400_1.png;112400
112401_1.png;112401_1.png;112401
113219_1.png;113219_1.png;113219
"c(""113224_1.png"", ""113224_2.png"")";113224_1.png;113224
"c(""113224_1.png"", ""113224_2.png"")";113224_2.png;113224
"c(""113227_1.png"", ""113227_2.png"")";113227_1.png;113227
"c(""113227_1.png"", ""113227_2.png"")";113227_2.png;113227
"c(""113228_1.png"", ""113228_2.png"")";113228_1.png;113228
"c(""113228_1.png"", ""113228_2.png"")";113228_2.png;113228
"c(""114182_1.png"", ""114182_2.png"")";114182_1.png;114182
"c(""114182_1.png"", ""114182_2.png"")";114182_2.png;114182
"c(""114183_1.png"", ""114183_2.png"")";114183_1.png;114183
"c(""114183_1.png"", ""114183_2.png"")";114183_2.png;114183
"c(""114184_1.png"", ""114184_2.png"")";114184_1.png;114184
"c(""114184_1.png"", ""114184_2.png"")";114184_2.png;114184
"c(""114185_1.png"", ""114185_2.png"")";114185_1.png;114185
"c(""114185_1.png"", ""114185_2.png"")";114185_2.png;114185
115051_1.png;115051_1.png;115051
115052_1.png;115052_1.png;115052
115056_1.png;115056_1.png;115056
"c(""115116_1.png"", ""115116_2.png"")";115116_1.png;115116
"c(""115116_1.png"", ""115116_2.png"")";115116_2.png;115116
"c(""115132_1.png"", ""115132_2.png"")";115132_1.png;115132
"c(""115132_1.png"", ""115132_2.png"")";115132_2.png;115132
115997_1.png;115997_1.png;115997
116001_1.png;116001_1.png;116001
116002_1.png;116002_1.png;116002
"c(""116636_1.png"", ""116636_2.png"")";116636_1.png;116636
"c(""116636_1.png"", ""116636_2.png"")";116636_2.png;116636
"c(""116637_1.png"", ""116637_2.png"")";116637_1.png;116637
"c(""116637_1.png"", ""116637_2.png"")";116637_2.png;116637
117857_1.png;117857_1.png;117857
117975_1.png;117975_1.png;117975
117976_1.png;117976_1.png;117976
"c(""118641_1.png"", ""118641_2.png"")";118641_1.png;118641
"c(""118641_1.png"", ""118641_2.png"")";118641_2.png;118641
"c(""120195_1.png"", ""120195_2.png"")";120195_1.png;120195
"c(""120195_1.png"", ""120195_2.png"")";120195_2.png;120195
"c(""120196_1.png"", ""120196_2.png"")";120196_1.png;120196
"c(""120196_1.png"", ""120196_2.png"")";120196_2.png;120196
"c(""120201_1.png"", ""120201_2.png"")";120201_1.png;120201
"c(""120201_1.png"", ""120201_2.png"")";120201_2.png;120201
"c(""120204_1.png"", ""120204_2.png"")";120204_1.png;120204
"c(""120204_1.png"", ""120204_2.png"")";120204_2.png;120204
"c(""120205_1.png"", ""120205_2.png"")";120205_1.png;120205
"c(""120205_1.png"", ""120205_2.png"")";120205_2.png;120205
"c(""120206_1.png"", ""120206_2.png"")";120206_1.png;120206
"c(""120206_1.png"", ""120206_2.png"")";120206_2.png;120206
"c(""120207_1.png"", ""120207_2.png"")";120207_1.png;120207
"c(""120207_1.png"", ""120207_2.png"")";120207_2.png;120207
"c(""120208_1.png"", ""120208_2.png"")";120208_1.png;120208
"c(""120208_1.png"", ""120208_2.png"")";120208_2.png;120208
"c(""120209_1.png"", ""120209_2.png"")";120209_1.png;120209
"c(""120209_1.png"", ""120209_2.png"")";120209_2.png;120209
120217_1.png;120217_1.png;120217
"c(""121403_1.png"", ""121403_2.png"")";121403_1.png;121403
"c(""121403_1.png"", ""121403_2.png"")";121403_2.png;121403
"c(""121404_1.png"", ""121404_2.png"")";121404_1.png;121404
"c(""121404_1.png"", ""121404_2.png"")";121404_2.png;121404
"c(""121405_1.png"", ""121405_2.png"")";121405_1.png;121405
"c(""121405_1.png"", ""121405_2.png"")";121405_2.png;121405
"c(""121406_1.png"", ""121406_2.png"")";121406_1.png;121406
"c(""121406_1.png"", ""121406_2.png"")";121406_2.png;121406
"c(""121876_1.png"", ""121876_2.png"")";121876_1.png;121876
"c(""121876_1.png"", ""121876_2.png"")";121876_2.png;121876
"c(""121880_1.png"", ""121880_2.png"")";121880_1.png;121880
"c(""121880_1.png"", ""121880_2.png"")";121880_2.png;121880
121881_1.png;121881_1.png;121881
121883_1.png;121883_1.png;121883
"c(""121886_1.png"", ""121886_2.png"")";121886_1.png;121886
"c(""121886_1.png"", ""121886_2.png"")";121886_2.png;121886
"c(""121890_1.png"", ""121890_2.png"")";121890_1.png;121890
"c(""121890_1.png"", ""121890_2.png"")";121890_2.png;121890
"c(""121891_1.png"", ""121891_2.png"")";121891_1.png;121891
"c(""121891_1.png"", ""121891_2.png"")";121891_2.png;121891
"c(""123161_1.png"", ""123161_2.png"")";123161_1.png;123161
"c(""123161_1.png"", ""123161_2.png"")";123161_2.png;123161
"c(""123162_1.png"", ""123162_2.png"")";123162_1.png;123162
"c(""123162_1.png"", ""123162_2.png"")";123162_2.png;123162
"c(""123166_1.png"", ""123166_2.png"")";123166_1.png;123166
"c(""123166_1.png"", ""123166_2.png"")";123166_2.png;123166
"c(""123176_1.png"", ""123176_2.png"")";123176_1.png;123176
"c(""123176_1.png"", ""123176_2.png"")";123176_2.png;123176
"c(""123585_1.png"", ""123585_2.png"")";123585_1.png;123585
"c(""123585_1.png"", ""123585_2.png"")";123585_2.png;123585
"c(""124035_1.png"", ""124035_2.png"")";124035_1.png;124035
"c(""124035_1.png"", ""124035_2.png"")";124035_2.png;124035
"c(""124036_1.png"", ""124036_2.png"")";124036_1.png;124036
"c(""124036_1.png"", ""124036_2.png"")";124036_2.png;124036
"c(""124037_1.png"", ""124037_2.png"")";124037_1.png;124037
"c(""124037_1.png"", ""124037_2.png"")";124037_2.png;124037
"c(""124062_1.png"", ""124062_2.png"")";124062_1.png;124062
"c(""124062_1.png"", ""124062_2.png"")";124062_2.png;124062
"c(""124699_1.png"", ""124699_2.png"")";124699_1.png;124699
"c(""124699_1.png"", ""124699_2.png"")";124699_2.png;124699
"c(""124701_1.png"", ""124701_2.png"")";124701_1.png;124701
"c(""124701_1.png"", ""124701_2.png"")";124701_2.png;124701
"c(""124702_1.png"", ""124702_2.png"")";124702_1.png;124702
"c(""124702_1.png"", ""124702_2.png"")";124702_2.png;124702
"c(""124703_1.png"", ""124703_2.png"")";124703_1.png;124703
"c(""124703_1.png"", ""124703_2.png"")";124703_2.png;124703
"c(""124709_1.png"", ""124709_2.png"")";124709_1.png;124709
"c(""124709_1.png"", ""124709_2.png"")";124709_2.png;124709
"c(""124710_1.png"", ""124710_2.png"")";124710_1.png;124710
"c(""124710_1.png"", ""124710_2.png"")";124710_2.png;124710
"c(""124711_1.png"", ""124711_2.png"")";124711_1.png;124711
"c(""124711_1.png"", ""124711_2.png"")";124711_2.png;124711
"c(""125266_1.png"", ""125266_2.png"")";125266_1.png;125266
"c(""125266_1.png"", ""125266_2.png"")";125266_2.png;125266
126610_1.png;126610_1.png;126610
"c(""126665_1.png"", ""126665_2.png"")";126665_1.png;126665
"c(""126665_1.png"", ""126665_2.png"")";126665_2.png;126665
"c(""126668_1.png"", ""126668_2.png"", ""126668_3.png"")";126668_1.png;126668
"c(""126668_1.png"", ""126668_2.png"", ""126668_3.png"")";126668_2.png;126668
"c(""126668_1.png"", ""126668_2.png"", ""126668_3.png"")";126668_3.png;126668
"c(""126669_1.png"", ""126669_2.png"")";126669_1.png;126669
"c(""126669_1.png"", ""126669_2.png"")";126669_2.png;126669
127683_1.png;127683_1.png;127683
128393_1.png;128393_1.png;128393
128394_1.png;128394_1.png;128394
128395_1.png;128395_1.png;128395
"c(""128400_1.png"", ""128400_2.png"")";128400_1.png;128400
"c(""128400_1.png"", ""128400_2.png"")";128400_2.png;128400
"c(""128401_1.png"", ""128401_2.png"")";128401_1.png;128401
"c(""128401_1.png"", ""128401_2.png"")";128401_2.png;128401
"c(""128402_1.png"", ""128402_2.png"", ""128402_3.png"")";128402_1.png;128402
