year,district.name,district.id,party.code,party,total,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,percentage,seats,minority,minority.elected
2012,Bosanska Krupa,4,13788,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,28,26,0,2,0,-,0,y,n
2012,Bosanska Krupa,4,19255,SDA-STRANKA DEMOKRATSKE AKCIJE,15,15,0,0,0,-,0,y,n
2012,Buzim,5,90,SDA-STRANKA DEMOKRATSKE AKCIJE,3587,3556,1,28,2,"42,97",7,,
2012,Buzim,5,4,STRANKA ZA BOSNU I HERCEGOVINU,1383,1378,1,0,4,"16,57",3,,
2012,Buzim,5,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,1377,1370,1,6,0,"16,50",3,,
2012,Buzim,5,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,745,740,1,4,0,"8,93",1,,
2012,Buzim,5,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,311,307,2,2,0,"3,73",1,,
2012,Buzim,5,1578,NEZAVISNA LISTA BUZIM,306,306,0,0,0,"3,67",1,,
2012,Buzim,5,513,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE SP-U BIH,254,254,0,0,0,"3,04",1,,
2012,Buzim,5,1335,PORIC AMIR - NEZAVISNI KANDIDAT,154,153,0,1,0,"1,84",0,,
2012,Buzim,5,731,EKOLOSKA STRANKA E5 - ZELENI,136,135,1,0,0,"1,63",0,,
2012,Buzim,5,1,BPS-SEFER HALILOVIC,59,58,0,1,0,"0,71",0,,
2012,Buzim,5,28,DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ BIH,35,35,0,0,0,"0,42",0,,
2012,Krupa na Uni,6,18,SDS-SRPSKA DEMOKRATSKA STRANKA,454,454,0,0,0,"40,32",5,,
2012,Krupa na Uni,6,461,DNS-DEMOKRATSKI NARODNI SAVEZ,408,408,0,0,0,"36,23",5,,
2012,Krupa na Uni,6,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,94,94,0,0,0,"8,35",1,,
2012,Krupa na Uni,6,561,NARODNA DEMOKRATSKA STRANKA,74,74,0,0,0,"6,57",1,,
2012,Krupa na Uni,6,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,67,67,0,0,0,"5,95",1,,
2012,Krupa na Uni,6,1652,SRPSKA RADIKALNA STRANKA,29,29,0,0,0,"2,58",0,,
2012,Novi Grad,7,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,6805,6794,1,3,7,"39,89",11,,
2012,Novi Grad,7,18,SDS-SRPSKA DEMOKRATSKA STRANKA,3305,3304,0,0,1,"19,37",6,,
2012,Novi Grad,7,90,SDA-STRANKA DEMOKRATSKE AKCIJE,2022,1791,222,9,0,"11,85",3,,
2012,Novi Grad,7,461,DNS-DEMOKRATSKI NARODNI SAVEZ,1936,1930,6,0,0,"11,35",3,,
2012,Novi Grad,7,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,1046,1040,6,0,0,"6,13",2,,
2012,Novi Grad,7,1627,NAPREDNA SRPSKA SRPSKA RADIKALNA I SRPSKA NAPREDNA STRANKA,829,828,0,0,1,"4,86",1,,
2012,Novi Grad,7,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,433,392,40,1,0,"2,54",0,,
2012,Novi Grad,7,74,SOCIJALISTICKA PARTIJA,432,432,0,0,0,"2,53",0,,
2012,Novi Grad,7,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,242,197,41,4,0,"1,42",0,,
2012,Novi Grad,7,1517,PERIC ZELIMIR - NEZAVISNI KANDIDAT,5,5,0,0,0,"0,03",0,,
2012,Novi Grad,7,1563,JOVANIC DUSAN - NEZAVISNI KANDIDAT,4,4,0,0,0,"0,02",0,,
2012,Novi Grad,7,27842,BRABENEC MIROSLAV - NEZAVISNI KANDIDAT,109,109,0,0,0,-,1,y,y
2012,Novi Grad,7,27844,NOVAKOVIC DAMIR - NEZAVISNI KANDIDAT,73,73,0,0,0,-,0,y,n
2012,Novi Grad,7,32371,BASIC BOJAN - EKOLOSKA STRANKA E5 - ZELENI,42,41,1,0,0,-,0,y,n
2012,Novi Grad,7,20742,JOVANKOVIC BOZANKO - NARODNA DEMOKRATSKA STRANKA,29,29,0,0,0,-,0,y,n
2012,Novi Grad,7,32872,TASKOV MARINKO - SAVEZ ZA DEMOKRATSKU SRPSKU - (SzDS),20,20,0,0,0,-,0,y,n
2012,Novi Grad,7,28332,SUSKALO SLOBODAN - DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ BIH,17,17,0,0,0,-,0,y,n
2012,Kozarska Dubica,8,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,3968,3928,17,23,0,"31,60",9,,
2012,Kozarska Dubica,8,18,SDS-SRPSKA DEMOKRATSKA STRANKA,2970,2933,12,22,3,"23,65",7,,
2012,Kozarska Dubica,8,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,2079,2040,28,11,0,"16,56",5,,
2012,Kozarska Dubica,8,461,DNS-DEMOKRATSKI NARODNI SAVEZ,1097,1089,1,7,0,"8,74",3,,
2012,Kozarska Dubica,8,74,SOCIJALISTICKA PARTIJA,563,562,1,0,0,"4,48",1,,
2012,Kozarska Dubica,8,90,SDA-STRANKA DEMOKRATSKE AKCIJE,424,353,58,8,5,"3,38",1,,
2012,Kozarska Dubica,8,1627,NAPREDNA SRPSKA SRPSKA RADIKALNA I SRPSKA NAPREDNA STRANKA,368,364,2,1,1,"2,93",0,,
