year,district.name,district.id,party.code,party,total,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,percentage,seats,minority,minority.elected
2012,Orasje,22,769,HDZ 1990- HRVATSKA DEMOKRATSKA ZAJEDNICA 1990,2420,2385,23,12,0,"28,76",8,,
2012,Orasje,22,90,SDA-STRANKA DEMOKRATSKE AKCIJE,642,625,5,12,0,"7,63",2,,
2012,Orasje,22,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,570,566,1,3,0,"6,77",2,,
2012,Orasje,22,1188,POSAVSKA STRANKA,374,366,2,6,0,"4,44",1,,
2012,Orasje,22,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,293,291,0,2,0,"3,48",1,,
2012,Orasje,22,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,269,267,0,2,0,"3,20",1,,
2012,Orasje,22,1593,NEOVISNA LISTA HRVATSKI GLAS,248,247,0,1,0,"2,95",0,,
2012,Orasje,22,366,HSS-NHI,151,148,2,1,0,"1,79",0,,
2012,Orasje,22,502,NARODNA STRANKA RADOM ZA BOLJITAK,117,116,0,1,0,"1,39",0,,
2012,Donji Zabar,23,18,SDS-SRPSKA DEMOKRATSKA STRANKA,559,544,0,15,0,"33,80",4,,
2012,Donji Zabar,23,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,427,419,0,8,0,"25,82",3,,
2012,Donji Zabar,23,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,194,187,3,4,0,"11,73",2,,
2012,Donji Zabar,23,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,89,88,0,1,0,"5,38",1,,
2012,Donji Zabar,23,561,NARODNA DEMOKRATSKA STRANKA,88,85,3,0,0,"5,32",1,,
2012,Donji Zabar,23,74,SOCIJALISTICKA PARTIJA,70,69,0,1,0,"4,23",1,,
2012,Donji Zabar,23,461,DNS-DEMOKRATSKI NARODNI SAVEZ,69,69,0,0,0,"4,17",1,,
2012,Donji Zabar,23,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,61,60,0,1,0,"3,69",0,,
2012,Donji Zabar,23,1003,NEZAVISNA STRANKA DR MIHAJLO TOVIRAC,58,57,0,1,0,"3,51",0,,
2012,Donji Zabar,23,1200,SRPSKA NAPREDNA STRANKA,39,39,0,0,0,"2,36",0,,
2012,Modrica,24,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,4354,4251,56,44,3,"31,08",9,,
2012,Modrica,24,18,SDS-SRPSKA DEMOKRATSKA STRANKA,3800,3693,85,20,2,"27,12",7,,
2012,Modrica,24,461,DNS-DEMOKRATSKI NARODNI SAVEZ,1299,1274,20,5,0,"9,27",3,,
2012,Modrica,24,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,1121,1116,3,1,1,"8,00",2,,
2012,Modrica,24,74,SOCIJALISTICKA PARTIJA,1030,1027,1,2,0,"7,35",2,,
2012,Modrica,24,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,681,660,18,3,0,"4,86",1,,
2012,Modrica,24,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,559,170,387,0,2,"3,99",1,,
2012,Modrica,24,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,496,437,54,5,0,"3,54",1,,
2012,Modrica,24,4,STRANKA ZA BOSNU I HERCEGOVINU,209,194,13,2,0,"1,49",0,,
2012,Modrica,24,561,NARODNA DEMOKRATSKA STRANKA,167,166,1,0,0,"1,19",0,,
2012,Modrica,24,90,SDA-STRANKA DEMOKRATSKE AKCIJE,153,135,13,5,0,"1,09",0,,
2012,Modrica,24,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,71,55,14,2,0,"0,51",0,,
2012,Modrica,24,502,NARODNA STRANKA RADOM ZA BOLJITAK,70,57,11,0,2,"0,50",0,,
2012,Modrica,24,27874,GOJKOVIC SLAVKO - NEZAVISNI KANDIDAT,185,174,10,1,0,-,1,y,y
2012,Modrica,24,27877,DROBNJAK BOZIDAR - NEZAVISNI KANDIDAT,81,81,0,0,0,-,0,y,n
2012,Modrica,24,27880,MIRKOVIC ALEKSANDAR - NEZAVISNI KANDIDAT,35,35,0,0,0,-,0,y,n
2012,Modrica,24,27873,FERHATOVIC SABIR - NARODNA STRANKA RADOM ZA BOLJITAK,20,20,0,0,0,-,0,y,n
2012,Modrica,24,20747,PUNTAR MARTIN - NARODNA DEMOKRATSKA STRANKA,10,10,0,0,0,-,0,y,n
2012,Modrica,24,27869,FERHATOVIC ALIJA - NEZAVISNI KANDIDAT,5,4,1,0,0,-,0,y,n
2012,Gradacac,25,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,4697,4649,19,29,0,"24,22",7,,
2012,Gradacac,25,90,SDA-STRANKA DEMOKRATSKE AKCIJE,4646,4613,7,25,1,"23,96",7,,
2012,Gradacac,25,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,3142,3119,10,13,0,"16,20",5,,
2012,Gradacac,25,4,STRANKA ZA BOSNU I HERCEGOVINU,2329,2318,1,10,0,"12,01",4,,
2012,Gradacac,25,1,BPS-SEFER HALILOVIC,1103,1100,0,3,0,"5,69",2,,
2012,Gradacac,25,1252,SNAGA EKONOMSKOG POKRETA U BIH,1063,1059,0,4,0,"5,48",2,,
2012,Gradacac,25,502,NARODNA STRANKA RADOM ZA BOLJITAK,950,947,1,2,0,"4,90",2,,
2012,Gradacac,25,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,558,556,0,2,0,"2,88",0,,
2012,Gradacac,25,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,460,308,140,8,4,"2,37",0,,
2012,Gradacac,25,1188,POSAVSKA STRANKA,174,158,13,3,0,"0,90",0,,
2012,Gradacac,25,1519,H. MUHAMEDOVIC FADIL - NEZAVISNI KANDIDAT,166,165,0,1,0,"0,86",0,,
2012,Gradacac,25,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,73,49,24,0,0,"0,38",0,,
2012,Gradacac,25,36,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIC,20,20,0,0,0,"0,10",0,,
2012,Gradacac,25,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,11,10,0,1,0,"0,06",0,,
2012,Gradacac,25,8946,JUSUFOVIC ENVER - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,130,130,0,0,0,-,1,y,y
2012,Gradacac,25,13871,TURBIC MERSED - STRANKA ZA BOSNU I HERCEGOVINU,123,122,0,1,0,-,0,y,n
2012,Gradacac,25,27810,SULEJMANI KURTIS - NEZAVISNI KANDIDAT,108,108,0,0,0,-,0,y,n
2012,Gradacac,25,37496,GLUHIC BESIM - NEZAVISNI KANDIDAT,45,45,0,0,0,-,0,y,n
2012,Gradacac,25,25127,COSIC ADNAN - BPS-SEFER HALILOVIC,38,38,0,0,0,-,0,y,n
2012,Pelagicevo,26,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,535,275,216,0,44,"17,05",3,,
2012,Pelagicevo,26,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,488,462,23,0,3,"15,55",2,,
2012,Pelagicevo,26,1628,HRVATSKA KOALICIJA ZA PELAGICEVO HDZ 1990 - HSS-NHI,448,99,309,0,40,"14,28",2,,
2012,Pelagicevo,26,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,320,318,1,0,1,"10,20",2,,
2012,Pelagicevo,26,74,SOCIJALISTICKA PARTIJA,302,283,17,0,2,"9,62",2,,
2012,Pelagicevo,26,461,DNS-DEMOKRATSKI NARODNI SAVEZ,297,294,3,0,0,"9,46",1,,
2012,Pelagicevo,26,18,SDS-SRPSKA DEMOKRATSKA STRANKA,233,231,2,0,0,"7,43",1,,
2012,Pelagicevo,26,1586,NEZAVISNA LISTA ZA PELAGICEVO,222,222,0,0,0,"7,07",1,,
2012,Pelagicevo,26,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,131,131,0,0,0,"4,17",1,,
2012,Pelagicevo,26,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,56,55,0,0,1,"1,78",0,,
2012,Pelagicevo,26,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,41,32,2,0,7,"1,31",0,,
2012,Pelagicevo,26,1003,NEZAVISNA STRANKA DR MIHAJLO TOVIRAC,36,36,0,0,0,"1,15",0,,
2012,Pelagicevo,26,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,27,27,0,0,0,"0,86",0,,
2012,Pelagicevo,26,502,NARODNA STRANKA RADOM ZA BOLJITAK,2,2,0,0,0,"0,06",0,,
2012,Bijeljina,29,18,SDS-SRPSKA DEMOKRATSKA STRANKA,14701,14667,25,9,0,"24,97",8,,
2012,Bijeljina,29,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,12361,12346,5,10,0,"21,00",7,,
2012,Bijeljina,29,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,8568,8507,52,7,2,"14,55",5,,
2012,Bijeljina,29,461,DNS-DEMOKRATSKI NARODNI SAVEZ,7900,7883,7,9,1,"13,42",5,,
2012,Bijeljina,29,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,3278,3276,0,2,0,"5,57",2,,
2012,Bijeljina,29,74,SOCIJALISTICKA PARTIJA,3251,3243,7,1,0,"5,52",2,,
2012,Bijeljina,29,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,2271,2269,2,0,0,"3,86",1,,
2012,Bijeljina,29,90,SDA-STRANKA DEMOKRATSKE AKCIJE,2262,2105,149,8,0,"3,84",1,,
2012,Bijeljina,29,1629,NAPREDNA BIJELJINA SNS I PUP,1375,1373,2,0,0,"2,34",0,,
2012,Bijeljina,29,1179,SAVEZ ZA DEMOKRATSKU SRPSKU - (SzDS),798,796,0,0,2,"1,36",0,,
2012,Bijeljina,29,561,NARODNA DEMOKRATSKA STRANKA,783,782,0,1,0,"1,33",0,,
2012,Bijeljina,29,502,NARODNA STRANKA RADOM ZA BOLJITAK,581,580,0,1,0,"0,99",0,,
2012,Bijeljina,29,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,258,233,23,2,0,"0,44",0,,
2012,Bijeljina,29,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,251,212,38,1,0,"0,43",0,,
2012,Bijeljina,29,16,SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE,124,124,0,0,0,"0,21",0,,
2012,Bijeljina,29,879,EKOLOSKA PARTIJA REPUBLIKE SRPSKE,25,25,0,0,0,"0,04",0,,
2012,Bijeljina,29,1291,REFORMSKA STRANKA,13,13,0,0,0,"0,02",0,,
2012,Bijeljina,29,1539,PAVLOVIC MILENKO - NEZAVISNI KANDIDAT,13,13,0,0,0,"0,02",0,,
2012,Bijeljina,29,1290,HRVATSKA SELJACKA STRANKA - HSS,11,11,0,0,0,"0,02",0,,
2012,Bijeljina,29,1457,JEVTIC OGNJEN - NEZAVISNI KANDIDAT,10,10,0,0,0,"0,02",0,,
2012,Bijeljina,29,1531,MICIC LJUBO - NEZAVISNI KANDIDAT,9,9,0,0,0,"0,02",0,,
2012,Bijeljina,29,1541,DORIC ALEKSANDAR - NEZAVISNI KANDIDAT,8,8,0,0,0,"0,01",0,,
2012,Bijeljina,29,1455,ERIC NENAD - NEZAVISNI KANDIDAT,6,6,0,0,0,"0,01",0,,
2012,Bijeljina,29,1243,ALEKSIC ALEKSANDAR - NEZAVISNI KANDIDAT,5,5,0,0,0,"0,01",0,,
2012,Bijeljina,29,1536,TESIC DRAGAN - NEZAVISNI KANDIDAT,4,4,0,0,0,"0,01",0,,
2012,Bijeljina,29,455,LDS - LIBERALNO DEMOKRATSKA STRANKA BIH,3,3,0,0,0,"0,01",0,,
2012,Bijeljina,29,520,BOSANSKOHERCEGOVACKA NARODNA STRANKA - BNS,2,1,1,0,0,"0,00",0,,
2012,Bosanski Petrovac,30,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,1009,972,0,37,0,"29,72",5,,
2012,Bosanski Petrovac,30,90,SDA-STRANKA DEMOKRATSKE AKCIJE,542,537,3,0,2,"15,96",2,,
2012,Bosanski Petrovac,30,1282,CISTA SDP BIH,328,326,1,1,0,"9,66",2,,
2012,Bosanski Petrovac,30,74,SOCIJALISTICKA PARTIJA,255,233,14,5,3,"7,51",1,,
2012,Bosanski Petrovac,30,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,221,217,3,1,0,"6,51",1,,
2012,Bosanski Petrovac,30,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,214,213,0,1,0,"6,30",1,,
2012,Bosanski Petrovac,30,28,DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ BIH,168,164,0,4,0,"4,95",1,,
2012,Bosanski Petrovac,30,461,DNS-DEMOKRATSKI NARODNI SAVEZ,147,142,0,5,0,"4,33",1,,
2012,Bosanski Petrovac,30,4,STRANKA ZA BOSNU I HERCEGOVINU,136,135,1,0,0,"4,01",1,,
2012,Bosanski Petrovac,30,502,NARODNA STRANKA RADOM ZA BOLJITAK,135,132,0,3,0,"3,98",1,,
2012,Bosanski Petrovac,30,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,118,115,3,0,0,"3,48",1,,
2012,Bosanski Petrovac,30,877,NASA STRANKA,94,94,0,0,0,"2,77",0,,
2012,Bosanski Petrovac,30,520,BOSANSKOHERCEGOVACKA NARODNA STRANKA - BNS,26,26,0,0,0,"0,77",0,,
2012,Bosanski Petrovac,30,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,2,2,0,0,0,"0,06",0,,
2012,Petrovac,31,461,DNS-DEMOKRATSKI NARODNI SAVEZ,268,259,0,9,0,"38,84",4,,
2012,Petrovac,31,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,203,201,0,2,0,"29,42",3,,
2012,Petrovac,31,18,SDS-SRPSKA DEMOKRATSKA STRANKA,100,100,0,0,0,"14,49",2,,
2012,Petrovac,31,74,SOCIJALISTICKA PARTIJA,72,72,0,0,0,"10,43",1,,
2012,Petrovac,31,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,47,46,0,1,0,"6,81",1,,
2012,Sanski Most,32,90,SDA-STRANKA DEMOKRATSKE AKCIJE,4808,4664,115,27,2,"42,65",14,,
2012,Sanski Most,32,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,2489,2421,65,3,0,"22,08",7,,
2012,Sanski Most,32,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,2259,2201,56,1,1,"20,04",6,,
2012,Sanski Most,32,4,STRANKA ZA BOSNU I HERCEGOVINU,886,820,64,2,0,"7,86",3,,
2012,Sanski Most,32,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,392,383,0,9,0,"3,48",1,,
2012,Sanski Most,32,877,NASA STRANKA,193,183,10,0,0,"1,71",0,,
2012,Sanski Most,32,455,LDS - LIBERALNO DEMOKRATSKA STRANKA BIH,182,177,4,1,0,"1,61",0,,
2012,Sanski Most,32,730,SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,64,60,2,2,0,"0,57",0,,
2012,Ostra Luka,33,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,608,602,6,0,0,"26,18",4,,
2012,Ostra Luka,33,461,DNS-DEMOKRATSKI NARODNI SAVEZ,506,504,1,0,1,"21,79",3,,
2012,Ostra Luka,33,18,SDS-SRPSKA DEMOKRATSKA STRANKA,377,374,3,0,0,"16,24",2,,
2012,Ostra Luka,33,561,NARODNA DEMOKRATSKA STRANKA,317,315,1,0,1,"13,65",2,,
2012,Ostra Luka,33,16,SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE,149,148,0,0,1,"6,42",1,,
2012,Ostra Luka,33,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,125,125,0,0,0,"5,38",1,,
2012,Ostra Luka,33,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,124,124,0,0,0,"5,34",1,,
2012,Ostra Luka,33,1200,SRPSKA NAPREDNA STRANKA,116,116,0,0,0,"5,00",1,,
2012,Celinac,35,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,2671,2650,6,15,0,"27,61",6,,
2012,Celinac,35,18,SDS-SRPSKA DEMOKRATSKA STRANKA,1930,1921,1,5,3,"19,95",5,,
2012,Celinac,35,461,DNS-DEMOKRATSKI NARODNI SAVEZ,1445,1431,6,8,0,"14,94",4,,
2012,Celinac,35,74,SOCIJALISTICKA PARTIJA,995,962,14,19,0,"10,29",2,,
2012,Celinac,35,561,NARODNA DEMOKRATSKA STRANKA,930,872,55,1,2,"9,61",2,,
2012,Celinac,35,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,819,804,0,15,0,"8,47",2,,
2012,Celinac,35,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,340,339,0,1,0,"3,51",1,,
2012,Celinac,35,16,SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE,316,314,0,1,1,"3,27",1,,
2012,Celinac,35,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,119,83,35,1,0,"1,23",0,,
2012,Celinac,35,1250,STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA,109,109,0,0,0,"1,13",0,,
2012,Doboj Istok,36,90,SDA-STRANKA DEMOKRATSKE AKCIJE,2031,2020,10,1,0,"32,08",6,,
2012,Doboj Istok,36,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,1254,1252,2,0,0,"19,80",3,,
2012,Doboj Istok,36,20,GRADANSKA DEMOKRATSKA STRANKA BOSNE I HERCEGOVINE,618,615,3,0,0,"9,76",2,,
2012,Doboj Istok,36,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,542,532,10,0,0,"8,56",2,,
2012,Doboj Istok,36,877,NASA STRANKA,471,467,3,1,0,"7,44",1,,
2012,Doboj Istok,36,4,STRANKA ZA BOSNU I HERCEGOVINU,423,422,1,0,0,"6,68",1,,
2012,Doboj Istok,36,455,LDS - LIBERALNO DEMOKRATSKA STRANKA BIH,329,329,0,0,0,"5,20",1,,
2012,Doboj Istok,36,1,BPS-SEFER HALILOVIC,312,312,0,0,0,"4,93",1,,
2012,Doboj Istok,36,1611,SDU BIH - SPU BIH - DEMOKRATSKI BLOK,150,150,0,0,0,"2,37",0,,
2012,Doboj Istok,36,1252,SNAGA EKONOMSKOG POKRETA U BIH,95,95,0,0,0,"1,50",0,,
2012,Doboj Istok,36,36,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIC,87,87,0,0,0,"1,37",0,,
2012,Doboj Istok,36,520,BOSANSKOHERCEGOVACKA NARODNA STRANKA - BNS,20,20,0,0,0,"0,32",0,,
2012,Doboj Jug,37,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,1090,1076,1,13,0,"43,63",6,,
2012,Doboj Jug,37,90,SDA-STRANKA DEMOKRATSKE AKCIJE,679,668,4,7,0,"27,18",4,,
2012,Doboj Jug,37,4,STRANKA ZA BOSNU I HERCEGOVINU,427,423,0,4,0,"17,09",2,,
2012,Doboj Jug,37,502,NARODNA STRANKA RADOM ZA BOLJITAK,140,139,0,1,0,"5,60",1,,
2012,Doboj Jug,37,1456,ALICIC ALEN - NEZAVISNI KANDIDAT,96,90,0,6,0,"3,84",0,,
2012,Doboj Jug,37,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,66,61,5,0,0,"2,64",0,,
2012,Doboj,38,18,SDS-SRPSKA DEMOKRATSKA STRANKA,14643,14634,3,3,3,"34,96",12,,
2012,Doboj,38,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,9934,9928,5,0,1,"23,72",8,,
2012,Doboj,38,561,NARODNA DEMOKRATSKA STRANKA,2638,2622,15,1,0,"6,30",2,,
2012,Doboj,38,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,2436,2329,84,22,1,"5,82",2,,
2012,Doboj,38,461,DNS-DEMOKRATSKI NARODNI SAVEZ,2434,2434,0,0,0,"5,81",2,,
2012,Doboj,38,74,SOCIJALISTICKA PARTIJA,2288,2287,1,0,0,"5,46",2,,
2012,Doboj,38,1614,"LISTA ZA DOBOJ SBIH, HSS - NHI, NSP",1776,1306,461,9,0,"4,24",2,,
2012,Doboj,38,90,SDA-STRANKA DEMOKRATSKE AKCIJE,1517,1457,30,28,2,"3,62",1,,
2012,Doboj,38,440,PDP- PARTIJA DEMOKRATSKOG PROGRESA,954,954,0,0,0,"2,28",0,,
2012,Doboj,38,1181,DEMOKRATSKA PARTIJA - DRAGAN CAVIC,779,772,7,0,0,"1,86",0,,
2012,Doboj,38,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,550,494,47,0,9,"1,31",0,,
2012,Doboj,38,279,PARTIJA UJEDINJENIH PENZIONERA,412,412,0,0,0,"0,98",0,,
2012,Doboj,38,1179,SAVEZ ZA DEMOKRATSKU SRPSKU - (SzDS),402,402,0,0,0,"0,96",0,,
2012,Doboj,38,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,393,374,14,5,0,"0,94",0,,
2012,Doboj,38,732,SRPSKA RADIKALNA STRANKA DR VOJISLAV SESELJ,384,384,0,0,0,"0,92",0,,
2012,Doboj,38,1627,NAPREDNA SRPSKA SRPSKA RADIKALNA I SRPSKA NAPREDNA STRANKA,159,158,1,0,0,"0,38",0,,
2012,Doboj,38,1465,MARKOVIC DRAGAN - NEZAVISNI KANDIDAT,60,60,0,0,0,"0,14",0,,
2012,Doboj,38,502,NARODNA STRANKA RADOM ZA BOLJITAK,35,33,0,2,0,"0,08",0,,
2012,Doboj,38,879,EKOLOSKA PARTIJA REPUBLIKE SRPSKE,23,23,0,0,0,"0,05",0,,
2012,Doboj,38,730,SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,22,15,7,0,0,"0,05",0,,
2012,Doboj,38,520,BOSANSKOHERCEGOVACKA NARODNA STRANKA - BNS,7,6,1,0,0,"0,02",0,,
2012,Doboj,38,1462,ZEKIC STEFAN - NEZAVISNI KANDIDAT,7,7,0,0,0,"0,02",0,,
2012,Doboj,38,841,DUJAKOVIC DRAGAN - NEZAVISNI KANDIDAT,6,6,0,0,0,"0,01",0,,
2012,Doboj,38,1470,BOZIC MIODRAG - NEZAVISNI KANDIDAT,6,6,0,0,0,"0,01",0,,
2012,Doboj,38,1350,PAVLOVIC MILISAV - NEZAVISNI KANDIDAT,5,5,0,0,0,"0,01",0,,
2012,Doboj,38,1306,KIPEROVIC NENAD - NEZAVISNI KANDIDAT,4,4,0,0,0,"0,01",0,,
2012,Doboj,38,1466,TADIC ALEKSANDAR - NEZAVISNI KANDIDAT,4,4,0,0,0,"0,01",0,,
2012,Doboj,38,455,LDS - LIBERALNO DEMOKRATSKA STRANKA BIH,3,3,0,0,0,"0,01",0,,
2012,Doboj,38,1329,SIMIKIC GORDANA - NEZAVISNI KANDIDAT,3,3,0,0,0,"0,01",0,,
2012,Doboj,38,1302,DAMJANOVIC STOJAN - NEZAVISNI KANDIDAT,2,2,0,0,0,"0,00",0,,
2012,Doboj,38,1388,UROSEVIC ZARKO - NEZAVISNI KANDIDAT,0,0,0,0,0,"0,00",0,,
2012,Doboj,38,1461,STEFANOVIC NEMANJA - NEZAVISNI KANDIDAT,0,0,0,0,0,"0,00",0,,
2012,Tesanj,39,90,SDA-STRANKA DEMOKRATSKE AKCIJE,7644,7618,25,0,1,"40,57",11,,
2012,Tesanj,39,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,5345,5296,46,0,3,"28,37",7,,
2012,Tesanj,39,4,STRANKA ZA BOSNU I HERCEGOVINU,2006,1995,9,0,2,"10,65",3,,
2012,Tesanj,39,1,BPS-SEFER HALILOVIC,1270,1266,4,0,0,"6,74",2,,
2012,Tesanj,39,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,1047,1039,8,0,0,"5,56",1,,
2012,Tesanj,39,455,LDS - LIBERALNO DEMOKRATSKA STRANKA BIH,606,604,2,0,0,"3,22",1,,
2012,Tesanj,39,513,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE SP-U BIH,315,315,0,0,0,"1,67",0,,
2012,Tesanj,39,1360,CEKI NENAD - NEOVISNI KANDIDAT,282,282,0,0,0,"1,50",0,,
2012,Tesanj,39,502,NARODNA STRANKA RADOM ZA BOLJITAK,118,118,0,0,0,"0,63",0,,
2012,Tesanj,39,36,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIC,111,111,0,0,0,"0,59",0,,
2012,Tesanj,39,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,97,97,0,0,0,"0,51",0,,
2012,Maglaj,42,90,SDA-STRANKA DEMOKRATSKE AKCIJE,3955,3944,6,5,0,"39,53",11,,
2012,Maglaj,42,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,3031,2999,13,19,0,"30,29",8,,
2012,Maglaj,42,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,891,889,1,1,0,"8,91",2,,
2012,Maglaj,42,513,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE SP-U BIH,486,486,0,0,0,"4,86",1,,
2012,Maglaj,42,27,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,468,460,5,3,0,"4,68",1,,
2012,Maglaj,42,502,NARODNA STRANKA RADOM ZA BOLJITAK,371,368,1,2,0,"3,71",1,,
2012,Maglaj,42,4,STRANKA ZA BOSNU I HERCEGOVINU,363,363,0,0,0,"3,63",1,,
2012,Maglaj,42,515,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,172,167,1,4,0,"1,72",0,,
2012,Maglaj,42,28,DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ BIH,139,138,0,1,0,"1,39",0,,
2012,Maglaj,42,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,129,128,0,1,0,"1,29",0,,
2012,Gracanica,44,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,8650,8604,14,32,0,"34,23",11,,
2012,Gracanica,44,90,SDA-STRANKA DEMOKRATSKE AKCIJE,8520,8486,15,16,3,"33,71",11,,
2012,Gracanica,44,1,BPS-SEFER HALILOVIC,2411,2403,2,6,0,"9,54",3,,
2012,Gracanica,44,1611,SDU BIH - SPU BIH - DEMOKRATSKI BLOK,980,976,0,4,0,"3,88",1,,
2012,Gracanica,44,36,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIC,975,972,0,3,0,"3,86",1,,
2012,Gracanica,44,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,938,931,7,0,0,"3,71",1,,
