year,district.name,district.id,party,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,seats,minority,minority.elected
2008,Modrica,24,Nezavisni Kandidat,41,,,,1,y,y
2008,Modrica,24,Narodna Demokratska Stranka,21,,,,0,y,n
2008,Gradacac,25,Stranka Demokratske Akcije,5378,4,5,1,9,,
2008,Gradacac,25,Socijaldemokratska Partija Bosne i Hercegovine,4072,5,3,1,6,,
2008,Gradacac,25,Lista Nezavisnih Kandidata GM4,2345,3,0,0,4,,
2008,Gradacac,25,Stranka za Bosnu i Hercegovinu,1712,3,0,0,3,,
2008,Gradacac,25,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,1373,4,0,0,2,,
2008,Gradacac,25,Narodna Stranka Radom za Boljitak,1035,0,1,0,2,,
2008,Gradacac,25,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,978,4,1,0,2,,
2008,Gradacac,25,Hrvatska Demokratska Zajednica BiH,524,31,0,5,1,,
2008,Gradacac,25,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,237,0,0,0,0,,
2008,Gradacac,25,Demokratska Stranka Invalida Tuzla,176,19,8,0,0,,
2008,Gradacac,25,BOSS - Bosanska Stranka - Mirnes Ajanovic,151,1,0,0,0,,
2008,Gradacac,25,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,111,0,0,0,0,,
2008,Gradacac,25,Gradanska Demokratska Stranka BiH,77,0,0,0,0,,
2008,Gradacac,25,Bosansko Demokratska Stranka,28,,,,1,y,y
2008,Gradacac,25,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,17,,,,0,y,n
2008,Gradacac / Pelagicevo,26,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,594,0,0,5,4,,
2008,Gradacac / Pelagicevo,26,Srpska Demokratska Stranka,455,0,0,5,3,,
2008,Gradacac / Pelagicevo,26,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",160,235,0,1,3,,
2008,Gradacac / Pelagicevo,26,Demokratski Narodni Savez,320,0,0,2,2,,
2008,Gradacac / Pelagicevo,26,Partija Demokratskog Progresa,203,0,0,0,1,,
2008,Gradacac / Pelagicevo,26,Narodna Stranka Radom za Boljitak,143,6,0,22,1,,
2008,Gradacac / Pelagicevo,26,Srpska Radikalna Stranka Dr. Vojislav Seselj,132,0,0,1,1,,
2008,Gradacac / Pelagicevo,26,Socijalisticka Partija,92,0,0,2,1,,
2008,Gradacac / Pelagicevo,26,Nezavisna Demokratska Stranka,77,0,0,2,1,,
2008,Gradacac / Pelagicevo,26,Srpska Demokratska Stranka 1990 - Izvorna - Pokret za Srbsku,51,0,0,0,0,,
2008,Bijeljina,29,Srpska Demokratska Stranka,14183,0,34,9,10,,
2008,Bijeljina,29,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,10772,1,25,8,8,,
2008,Bijeljina,29,Demokratski Narodni Savez,4844,0,9,0,4,,
2008,Bijeljina,29,Partija Demokratskog Progresa,3626,0,6,0,3,,
2008,Bijeljina,29,Socijalisticka Partija,2869,0,7,2,2,,
2008,Bijeljina,29,Srpska Radikalna Stranka Dr. Vojislav Seselj,2485,0,2,0,2,,
2008,Bijeljina,29,Pokret za Semberiju,1942,0,4,0,1,,
2008,Bijeljina,29,Savez SDA-S BiH,1436,197,19,5,1,,
2008,Bijeljina,29,Socijaldemokratska Partija Bosne i Hercegovine,1306,31,17,0,0,,
2008,Bijeljina,29,Nezavisna Demokratska Stranka,1300,0,2,0,0,,
2008,Bijeljina,29,Demokratska Stranka,1185,0,1,0,0,,
2008,Bijeljina,29,Narodna Stranka Radom za Boljitak,1111,0,2,0,0,,
2008,Bijeljina,29,Srpska Radikalna Stranka Republike Srpske,765,0,3,0,0,,
2008,Bijeljina,29,Demorkatski Pokret Srpske - Depos,531,0,0,0,0,,
2008,Bijeljina,29,Penzionerska Stranka Republike Strpske,514,0,3,1,0,,
2008,Bijeljina,29,Stranka Omladinske Snage,285,2,0,0,0,,
2008,Bijeljina,29,Partija Socijalne Pravde,224,0,0,1,0,,
2008,Bijeljina,29,Savic Vaso,117,0,0,0,0,,
2008,Bijeljina,29,Zivak Mitrovic,62,0,1,0,0,,
2008,Bijeljina,29,Demokratska Narodna Zajednica BiH,42,1,1,0,0,,
2008,Bijeljina,29,Miroslav Lukic,24,0,0,0,0,,
2008,Bijeljina,29,Demokratska Stranka Invalida Tuzla,17,0,1,0,0,,
2008,Bosanski Petrovac,30,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,1101,0,36,0,6,,
2008,Bosanski Petrovac,30,Stranka Demokratske Akcije,685,9,19,0,3,,
2008,Bosanski Petrovac,30,Nasa Stranka,499,7,15,0,3,,
2008,Bosanski Petrovac,30,Socijaldemokratska Partija Bosne i Hercegovine,233,7,4,0,1,,
2008,Bosanski Petrovac,30,Narodna Stranka Radom za Boljitak,207,0,12,0,1,,
2008,Bosanski Petrovac,30,Demokratska Narodna Zajednica BiH,207,1,3,2,1,,
2008,Bosanski Petrovac,30,Stranka za Bosnu i Hercegovinu,155,6,6,0,1,,
2008,Bosanski Petrovac,30,Socijalisticka Partija,126,0,5,0,1,,
2008,Bosanski Petrovac,30,"SDU-LDS, Socijaldemorkatska Unija-Liberalno Demokratska Stranka",50,1,1,0,0,,
2008,Bosanski Petrovac,30,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,43,2,2,0,0,,
2008,Bosanski Petrovac,30,Ahmet Hidic,39,0,2,0,0,,
2008,Sanski Most,32,Stranka Demokratske Akcije,6263,178,77,9,18,,
2008,Sanski Most,32,Socijaldemokratska Partija Bosne i Hercegovine,2339,52,2,2,6,,
2008,Sanski Most,32,Stranka za Bosnu i Hercegovinu,1598,99,12,1,5,,
2008,Sanski Most,32,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,549,2,6,0,1,,
2008,Sanski Most,32,"SDU-LDS, Socijaldemorkatska Unija-Liberalno Demokratska Stranka",528,5,5,0,1,,
2008,Sanski Most,32,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,274,2,1,0,0,,
2008,Sanski Most,32,Demokratski Narodni Savez,177,0,7,0,0,,
2008,Sanski Most,32,Narodna Stranka Radom za Boljitak,117,0,2,0,0,,
2008,Sanski Most,32,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,74,5,1,0,0,,
2008,Sanski Most / Ostra Luka,33,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,975,1,1,7,8,,
2008,Sanski Most / Ostra Luka,33,Demokratski Narodni Savez,368,0,0,3,3,,
2008,Sanski Most / Ostra Luka,33,Srpska Demokratska Stranka,282,0,0,1,2,,
2008,Sanski Most / Ostra Luka,33,Narodna Demokratska Stranka,211,14,0,0,2,,
2008,Sanski Most / Ostra Luka,33,Srpska Radikalna Stranka Republike Srpske,195,0,0,0,1,,
2008,Sanski Most / Ostra Luka,33,Partija Demokratskog Progresa,165,0,0,0,1,,
2008,Sanski Most / Ostra Luka,33,Narodna Stranka Radom za Boljitak,28,0,0,0,0,,
2008,Banja Luka,34,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,28262,18,268,1,15,,
2008,Banja Luka,34,Partija Demokratskog Progresa,8571,5,4,3,5,,
2008,Banja Luka,34,Demokratski Narodni Savez,4622,0,28,1,3,,
2008,Banja Luka,34,Srpska Demokratska Stranka,4313,2,26,0,2,,
2008,Banja Luka,34,Socijalisticka Partija,3669,0,44,0,2,,
2008,Banja Luka,34,Narodna Demokratska Stranka,2853,1,24,0,2,,
2008,Banja Luka,34,Srpska Radikalna Stranka Republike Srpske,2035,0,10,1,1,,
2008,Banja Luka,34,Savez SDA-S BiH,815,748,17,1,0,,
2008,Banja Luka,34,Socijaldemokratska Partija Bosne i Hercegovine,967,359,15,0,0,,
2008,Banja Luka,34,Srpska Stranka Republike Srpske,1280,0,7,0,0,,
2008,Banja Luka,34,Narodna Stranka Radom za Boljitak,1241,0,12,0,0,,
2008,Banja Luka,34,Demorkatski Pokret Srpske - Depos,1204,2,5,0,0,,
2008,Banja Luka,34,Penzionerska Stranka Republike Strpske,957,0,15,0,0,,
2008,Banja Luka,34,Srpska Radikalna Stranka Dr. Vojislav Seselj,919,2,14,0,0,,
2008,Banja Luka,34,Srpska Narodna Radikalna Stranka - Banja Luka,894,0,11,1,0,,
2008,Banja Luka,34,"Hrvatska Koalicija - HSS - NHI, HDZ BiH, HDZ 1990, HNZ",464,387,1,1,0,,
2008,Banja Luka,34,Srpska Demokratska Stranka 1990 - Izvorna - Pokret za Srbsku,672,2,6,0,0,,
2008,Banja Luka,34,Dorde Durdevic,609,0,3,0,0,,
2008,Banja Luka,34,Partija Socijalne Pravde,241,1,2,0,0,,
2008,Banja Luka,34,Nasa Stranka,171,14,3,0,0,,
2008,Banja Luka,34,Demokratska Narodna Zajednica BiH,113,2,2,1,0,,
2008,Banja Luka,34,Zeljko Vukadin,89,0,1,0,0,,
2008,Banja Luka,34,Srpska Stranka Republike Srpske,130,,,,1,y,y
2008,Banja Luka,34,Kulturno - Prosvjetno Udruzenje Ukrajinaca Taras Sevcenko - Nezavisni Kandidat,121,,,,0,y,n
2008,Banja Luka,34,Nezavisni Kandidat,119,,,,0,y,n
2008,Banja Luka,34,Nezavisna Lista BiH,117,,,,0,y,n
2008,Banja Luka,34,Nezavisni Kandidat,110,,,,0,y,n
2008,Banja Luka,34,Politicki Pokret Mladih - Stranka Mladih Bosne i Hercegovine,62,,,,0,y,n
2008,Banja Luka,34,Nezavisni Kandidat,36,,,,0,y,n
2008,Celinac,35,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,3411,0,17,8,10,,
2008,Celinac,35,Srpska Demokratska Stranka,1473,0,1,3,5,,
2008,Celinac,35,Demokratski Narodni Savez,1328,0,4,3,4,,
2008,Celinac,35,Partija Demokratskog Progresa,801,0,1,1,2,,
2008,Celinac,35,Socijalisticka Partija,488,0,1,2,2,,
2008,Celinac,35,Narodna Demokratska Stranka,349,0,0,1,1,,
2008,Celinac,35,Srpska Radikalna Stranka Republike Srpske,340,0,0,0,1,,
2008,Celinac,35,Socijaldemokratska Partija Bosne i Hercegovine,143,51,6,0,0,,
2008,Celinac,35,Demokratska Stranka Naroda Srpske,190,0,0,0,0,,
2008,Celinac,35,Narodna Stranka Radom za Boljitak,176,0,3,1,0,,
2008,Celinac,35,Srpska Radikalna Stranka Dr. Vojislav Seselj,34,0,0,0,0,,
2008,Doboj,38,Srpska Demokratska Stranka,18356,6,35,10,14,,
2008,Doboj,38,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,12044,11,9,23,9,,
2008,Doboj,38,Socijaldemokratska Partija Bosne i Hercegovine,2642,68,28,6,2,,
2008,Doboj,38,Partija Demokratskog Progresa,1948,1,0,1,2,,
2008,Doboj,38,Savez SDA-S BiH,1704,88,34,1,1,,
2008,Doboj,38,Socijalisticka Partija,1166,0,2,0,0,,
2008,Doboj,38,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",257,681,0,0,0,,
2008,Doboj,38,Srpska Radikalna Stranka Dr. Vojislav Seselj,418,1,0,0,0,,
2008,Doboj,38,Demokratski Narodni Savez,412,0,1,0,0,,
2008,Doboj,38,Lista Nezavisnih Kandidata Vojo Jovanovic,312,0,0,2,0,,
2008,Doboj,38,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,231,19,13,0,0,,
2008,Doboj,38,Srpska Demokratska Stranka 1990 - Izvorna - Pokret za Srbsku,163,0,2,0,0,,
2008,Doboj,38,Srpska Stranka Republike Srpske,108,0,0,0,0,,
2008,Doboj,38,Narodna Stranka Radom za Boljitak,104,0,0,1,0,,
2008,Doboj,38,Narodna Demokratska Stranka,60,0,0,0,0,,
2008,Doboj,38,Socijaldemokratska Unija Bosne i Hercegovine,57,0,1,0,0,,
2008,Doboj,38,Nasa Stranka,29,0,1,0,0,,
2008,Doboj,38,Dragan Dujkovic,18,1,1,0,0,,
2008,Doboj,38,Demokratska Stranka,17,0,0,0,0,,
2008,Doboj,38,Demokratska Stranka Invalida Tuzla,8,0,0,0,0,,
2008,Doboj,38,Goran Zunic,2,0,0,0,0,,
2008,Doboj,38,Markovic Dragan,89,,,,1,y,y
2008,Doboj,38,Vidojevic Alma,69,,,,0,y,n
2008,Doboj,38,Jevrejsk Opstina u Doboju - Nezavisni Kandidat,30,,,,0,y,n
2008,Doboj Jug,37,Stranka za Bosnu i Hercegovinu,617,8,9,0,4,,
2008,Doboj Jug,37,Socijaldemokratska Partija Bosne i Hercegovine,619,0,5,2,3,,
2008,Doboj Jug,37,Stranka Demokratske Akcije,610,4,8,0,3,,
2008,Doboj Jug,37,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,164,0,1,0,1,,
2008,Doboj Jug,37,Alen Alicic,106,0,1,0,1,,
2008,Doboj Jug,37,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,46,1,1,0,0,,
2008,Doboj Jug,37,Narodna Stranka Radom za Boljitak,29,0,1,0,0,,
2008,Doboj Jug,37,Gradanska Demokratska Stranka BiH,20,0,0,0,0,,
2008,Doboj Istok,36,Stranka Demokratske Akcije,1420,9,0,1,4,,
2008,Doboj Istok,36,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,971,5,0,5,3,,
2008,Doboj Istok,36,Gradanska Demokratska Stranka BiH,837,6,0,0,3,,
2008,Doboj Istok,36,Stranka za Bosnu i Hercegovinu,627,8,0,1,2,,
2008,Doboj Istok,36,Socijaldemokratska Partija Bosne i Hercegovine,523,2,0,0,2,,
2008,Doboj Istok,36,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,394,2,0,0,1,,
2008,Doboj Istok,36,"SDU-LDS, Socijaldemorkatska Unija-Liberalno Demokratska Stranka",303,0,0,0,1,,
2008,Doboj Istok,36,Nasa Stranka,235,1,0,3,1,,
2008,Doboj Istok,36,BOSS - Bosanska Stranka - Mirnes Ajanovic,178,0,0,0,0,,
2008,Doboj Istok,36,Narodna Stranka Radom za Boljitak,113,1,0,0,0,,
2008,Doboj Istok,36,Politicki Pokret Mladih - Stranka Mladih Bosne i Hercegovine,100,0,0,0,0,,
2008,Doboj Istok,36,Fadil Mujkic,95,0,0,0,0,,
2008,Doboj Istok,36,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,80,0,0,0,0,,
2008,Doboj Istok,36,Demokratska Stranka Invalida Tuzla,66,1,0,0,0,,
2008,Doboj Istok,36,Mohamed Yaser Sabbagh,4,0,0,0,0,,
2008,Tesanj,39,Stranka Demokratske Akcije,6451,27,1,5,11,,
2008,Tesanj,39,Socijaldemokratska Partija Bosne i Hercegovine,3769,11,2,1,6,,
2008,Tesanj,39,Stranka za Bosnu i Hercegovinu,2561,3,0,1,4,,
2008,Tesanj,39,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,2100,11,0,0,4,,
2008,Tesanj,39,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,442,1,1,0,0,,
2008,Tesanj,39,Nasa Stranka,197,2,0,0,0,,
2008,Tesanj,39,Narodna Stranka Radom za Boljitak,61,1,0,0,0,,
2008,Tesanj,39,BOSS - Bosanska Stranka - Mirnes Ajanovic,18,0,0,0,0,,
2008,Maglaj,42,Stranka Demokratske Akcije,4210,18,7,1,13,,
2008,Maglaj,42,Socijaldemokratska Partija Bosne i Hercegovine,2040,9,16,0,7,,
2008,Maglaj,42,Stranka za Bosnu i Hercegovinu,985,5,9,0,3,,
2008,Maglaj,42,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,371,0,2,0,1,,
2008,Maglaj,42,Hrvatska Demokratska Zajednica BiH,348,6,0,1,1,,
2008,Maglaj,42,Nasa Stranka,219,0,2,0,0,,
2008,Maglaj,42,Narodna Stranka Radom za Boljitak,21,0,0,0,0,,
2008,Maglaj,42,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,196,1,2,0,0,,
2008,Maglaj,42,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,183,0,15,0,0,,
2008,Maglaj,42,Demokratska Stranka Invalida Tuzla,147,0,1,0,0,,
2008,Maglaj,42,Partija Demokratskog Progresa,122,0,4,0,0,,
2008,Maglaj,42,Demokratska Narodna Zajednica BiH,115,0,0,0,0,,
2008,Maglaj,42,BOSS - Bosanska Stranka - Mirnes Ajanovic,29,0,0,0,0,,
2008,Gracanica,44,Socijaldemokratska Partija Bosne i Hercegovine,8049,12,25,4,12,,
2008,Gracanica,44,Stranka Demokratske Akcije,7266,23,16,6,10,,
2008,Gracanica,44,Stranka za Bosnu i Hercegovinu,1985,6,0,0,3,,
2008,Gracanica,44,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,1406,1,3,0,2,,
2008,Gracanica,44,"SDU-LDS, Socijaldemorkatska Unija-Liberalno Demokratska Stranka",1201,1,1,0,2,,
2008,Gracanica,44,Nasa Stranka,799,1,2,0,1,,
2008,Gracanica,44,BOSS - Bosanska Stranka - Mirnes Ajanovic,609,0,1,0,0,,
2008,Gracanica,44,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,331,0,0,0,0,,
2008,Gracanica,44,Narodna Stranka Radom za Boljitak,327,1,1,1,0,,
2008,Gracanica,44,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,253,0,1,0,0,,
2008,Gracanica,44,Gradanska Demokratska Stranka BiH,134,0,0,0,0,,
2008,Gracanica,44,Demokratska Stranka Invalida Tuzla,73,0,0,0,0,,
2008,Gracanica,44,Partija Demokratskog Progresa,3,0,1,0,0,,
2008,Gracanica / Petrovo,45,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,1655,0,20,3,7,,
2008,Gracanica / Petrovo,45,Srpska Demokratska Stranka,1203,9,7,5,5,,
2008,Gracanica / Petrovo,45,Penzionerska Stranka Republike Strpske,291,0,6,1,1,,
2008,Gracanica / Petrovo,45,Srpska Radikalna Stranka Dr. Vojislav Seselj,296,1,0,0,1,,
2008,Gracanica / Petrovo,45,Partija Demokratskog Progresa,249,0,2,0,1,,
2008,Gracanica / Petrovo,45,Srpska Stranka Republike Srpske,173,0,1,0,1,,
2008,Gracanica / Petrovo,45,Demokratski Narodni Savez,124,0,0,0,1,,
2008,Lukavac,47,Stranka Demokratske Akcije,8564,29,38,0,15,,
2008,Lukavac,47,Socijaldemokratska Partija Bosne i Hercegovine,4167,5,5,0,7,,
2008,Lukavac,47,Stranka za Bosnu i Hercegovinu,2323,6,1,0,4,,
2008,Lukavac,47,"SDU-LDS, Socijaldemorkatska Unija-Liberalno Demokratska Stranka",817,0,2,0,1,,
2008,Lukavac,47,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,710,0,0,0,1,,
2008,Lukavac,47,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,575,0,15,0,1,,
2008,Lukavac,47,Narodna Stranka Radom za Boljitak,579,0,0,0,0,,
2008,Lukavac,47,Demokratska Stranka Invalida Tuzla,489,1,5,0,0,,
2008,Lukavac,47,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,357,0,2,0,0,,
2008,Lukavac,47,BOSS - Bosanska Stranka - Mirnes Ajanovic,210,0,0,0,0,,
2008,Lukavac,47,Nasa Stranka,138,2,2,0,0,,
2008,Lukavac,47,Alen Nuhic,135,0,0,0,0,,
2008,Lukavac,47,Hrvatska Demokratska Zajednica BiH,87,1,1,0,0,,
2008,Lukavac,47,E5 - Evropska Ekoloska Stranka,86,2,0,0,0,,
2008,Lukavac,47,HSS - NHI,56,0,1,0,0,,
2008,Lukavac,47,Hrvatska Demokratska Zajednica 1990,24,0,0,0,0,,
2008,Lukavac,47,Partija Demokratskog Progresa,4,0,1,0,0,,
2008,Lukavac,47,Socijaldemokratska Partija Bosne i Hercegovine,68,,,,1,y,y
2008,Lukavac,47,Stranka Demokratske Akcije,51,,,,1,y,y
2008,Lukavac,47,Bosansko Demokratska Stranka,49,,,,0,y,n
2008,Lukavac,47,Socijaldemokratska Partija Bosne i Hercegovine,35,,,,0,y,n
2008,Lukavac,47,Mujic Nazif,14,,,,0,y,n
2008,Srebrenik,49,Stranka Demokratske Akcije,7139,23,18,0,13,,
2008,Srebrenik,49,Socijaldemokratska Partija Bosne i Hercegovine,4309,4,11,1,7,,
2008,Srebrenik,49,Stranka za Bosnu i Hercegovinu,1522,2,5,0,3,,
2008,Srebrenik,49,Liberalno Demokratska Stranka BiH,1284,3,1,1,2,,
2008,Srebrenik,49,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,837,0,0,0,1,,
2008,Srebrenik,49,Narodna Stranka Radom za Boljitak,788,0,0,0,1,,
2008,Srebrenik,49,Gradanska Demokratska Stranka BiH,686,0,0,0,1,,
2008,Srebrenik,49,Hrvatska Demokratska Zajednica BiH,518,2,0,0,0,,
2008,Srebrenik,49,Demokratska Stranka Invalida Tuzla,390,0,7,0,0,,
2008,Srebrenik,49,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,220,0,1,0,0,,
2008,Srebrenik,49,BOSS - Bosanska Stranka - Mirnes Ajanovic,137,2,0,0,0,,
2008,Srebrenik,49,Nasa Stranka,132,1,0,0,0,,
2008,Srebrenik,49,Partija Demokratskog Progresa,2,2,0,0,0,,
2008,Srebrenik,49,Stranka Demokratske Akcije,30,,,,1,y,y
2008,Srebrenik,49,Socijaldemokratska Partija Bosne i Hercegovine,25,,,,0,y,n
2008,Srebrenik,49,Stranka za Bosnu i Hercegovinu,22,,,,0,y,n
2008,Srebrenik,49,Bosansko Demokratska Stranka,12,,,,0,y,n
2008,Srebrenik,49,Liberalno Demokratska Stranka BiH,2,,,,0,y,n
2008,Tuzla,50,Socijaldemokratska Partija Bosne i Hercegovine,19497,42,114,1,16,,
2008,Tuzla,50,Stranka Demokratske Akcije,8256,28,48,2,7,,
2008,Tuzla,50,Narodna Stranka Radom za Boljitak,2579,3,9,0,2,,
2008,Tuzla,50,BOSS - Bosanska Stranka - Mirnes Ajanovic,2225,11,34,0,2,,
2008,Tuzla,50,Stranka za Bosnu i Hercegovinu,2156,14,10,0,2,,
2008,Tuzla,50,Hrvatska Demokratska Zajednica BiH,1632,2,17,0,1,,
2008,Tuzla,50,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,1172,8,0,0,0,,
2008,Tuzla,50,Nasa Stranka,571,1,2,0,0,,
2008,Tuzla,50,Hrvatska Demokratska Zajednica 1990,540,4,6,0,0,,
2008,Tuzla,50,Demokratska Stranka Invalida Tuzla,537,0,9,0,0,,
2008,Tuzla,50,Volim Tuzlu,526,0,3,0,0,,
2008,Tuzla,50,"SDU-LDS, Socijaldemorkatska Unija-Liberalno Demokratska Stranka",470,0,3,0,0,,
2008,Tuzla,50,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,382,0,1,0,0,,
2008,Tuzla,50,Socijaldemokratska Unija 2002 Bosne i Hercegovine - Stranka Socijalne Pravde,323,0,1,0,0,,
2008,Tuzla,50,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,312,2,1,0,0,,
2008,Tuzla,50,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,203,1,6,0,0,,
2008,Tuzla,50,HSS - NHI,184,0,0,0,0,,
2008,Tuzla,50,E5 - Evropska Ekoloska Stranka,150,1,1,0,0,,
2008,Tuzla,50,Gradanska Demokratska Stranka BiH,61,0,0,0,0,,
2008,Tuzla,50,Nezavisna Lista Gradanska Inicijativa,42,0,0,0,0,,
2008,Tuzla,50,Partija Demokratskog Progresa,14,0,0,0,0,,
2008,Tuzla,50,Socijaldemokratska Unija Bosne i Hercegovine,289,,,,1,y,y
2008,Tuzla,50,Udruzenje Roma Euro Rom - Nezavisni Kandidat,186,,,,0,y,n
2008,Tuzla,50,Stranka Demokratske Akcije,148,,,,0,y,n
2008,Tuzla,50,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,45,,,,0,y,n
2008,Tuzla,50,Politicki Pokret Mladih - Stranka Mladih Bosne i Hercegovine,41,,,,0,y,n
2008,Tuzla,50,Udruzenje Zena Romkinja Bolja Boducnost Tuzla Nezavisni Kandidat,39,,,,0,y,n
2008,Tuzla,50,Biberovic Admir,25,,,,0,y,n
2008,Tuzla,50,Socijaldemokratska Unija 2002 Bosne i Hercegovine - Stranka Socijalne Pravde,21,,,,0,y,n
2008,Celic,52,Stranka Demokratske Akcije,2422,42,10,9,7,,
2008,Celic,52,Stranka za Bosnu i Hercegovinu,961,8,2,2,3,,
2008,Celic,52,Socijaldemokratska Unija Bosne i Hercegovine,928,3,6,1,3,,
2008,Celic,52,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,541,1,12,2,2,,
2008,Celic,52,Narodna Stranka Radom za Boljitak,331,12,1,1,1,,
2008,Celic,52,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,221,6,1,0,1,,
2008,Celic,52,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,141,1,0,0,0,,
2008,Celic,52,Hrvatska Demokratska Zajednica BiH,57,0,0,0,0,,
2008,Celic,52,Demokratska Stranka Invalida Tuzla,25,0,7,0,0,,
2008,Lopare,54,Srpska Demokratska Stranka,2564,0,10,0,9,,
2008,Lopare,54,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,2147,2,13,14,8,,
2008,Lopare,54,Partija Demokratskog Progresa,754,0,2,2,3,,
2008,Lopare,54,Socijalisticka Partija,404,0,3,1,1,,
2008,Lopare,54,Srpska Radikalna Stranka Republike Srpske,337,1,0,2,1,,
2008,Lopare,54,Demokratska Stranka,333,1,0,0,1,,
2008,Lopare,54,Narodna Demokratska Stranka,154,0,0,1,0,,
2008,Lopare,54,Srpska Radikalna Stranka Dr. Vojislav Seselj,143,1,1,0,0,,
2008,Lopare,54,Vailije Prelic,100,0,0,0,0,,
2008,Lopare,54,Demokratski Narodni Savez,44,0,0,0,0,,
2008,Lopare,54,Savez SDA-S BiH,23,5,14,0,0,,
2008,Lopare,54,Socijaldemokratska Partija Bosne i Hercegovine,29,0,1,0,0,,
2008,Lopare,54,Dragan Milcanovic,5,0,0,0,0,,
2008,Teocak,55,Stranka Demokratske Akcije,1745,11,87,3,7,,
2008,Teocak,55,Stranka za Bosnu i Hercegovinu,880,2,28,0,4,,
2008,Teocak,55,Socijaldemokratska Partija Bosne i Hercegovine,541,1,14,1,2,,
2008,Teocak,55,Muhidin Jusic,170,0,6,0,1,,
2008,Teocak,55,Narodna Stranka Radom za Boljitak,125,1,3,0,0,,
2008,Teocak,55,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,110,0,5,0,0,,
2008,Teocak,55,Demokratska Stranka Invalida Tuzla,24,0,2,0,0,,
2008,Teocak,55,Socijaldemokratska Unija 2002 Bosne i Hercegovine - Stranka Socijalne Pravde,3,3,0,0,0,,
2008,Teocak,55,Stranka Demokratske Akcije,4,,,,1,y,y
2008,Ugljevik,56,Srpska Demokratska Stranka,3098,0,8,8,7,,
2008,Ugljevik,56,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,1944,1,2,5,4,,
2008,Ugljevik,56,Partija Demokratskog Progresa,1602,1,3,2,4,,
2008,Ugljevik,56,Srpska Radikalna Stranka Republike Srpske,1178,0,2,4,3,,
2008,Ugljevik,56,Srpska Radikalna Stranka Dr. Vojislav Seselj,729,0,3,6,2,,
2008,Ugljevik,56,Savez SDA-S BiH,449,12,31,1,1,,
2008,Ugljevik,56,Socijalisticka Partija,145,0,1,0,0,,
2008,Ugljevik,56,Benovic Milan,139,0,2,0,0,,
2008,Ugljevik,56,Narodna Stranka Radom za Boljitak,120,0,3,0,0,,
2008,Ugljevik,56,Demokratski Narodni Savez,84,0,0,0,0,,
