year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,control sum,seats
1997,Bosanska Dubica/Kozarska Dubica,8,Narodna Radikalna Stranka Nikola Pasic,171,3,174,0
1997,Bosanska Dubica/Kozarska Dubica,8,Srpski Otadzbinski Front - (SOF),143,2,145,0
1997,Bosanska Dubica/Kozarska Dubica,8,Seljacka Bosanska Stranka,897,21,918,3
1997,Bosanska Dubica/Kozarska Dubica,8,Srpska Stranka Krajine i Posavine,785,25,810,3
1997,Bosanska Dubica/Kozarska Dubica,8,Srpska Seljacka Stranka,481,8,489,1
1997,Bosanska Dubica/Kozarska Dubica,8,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,4275,104,4379,15
1997,Bosanska Dubica/Kozarska Dubica,8,ROF Nikola Pasic,39,2,41,0
1997,Bosanska Dubica/Kozarska Dubica,8,Narodna Stranka R.S-e,152,0,152,0
1997,Bosanska Dubica/Kozarska Dubica,8,SPD RS,61,61,122,0
1997,Bosanska Dubica/Kozarska Dubica,8,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",50,3030,3080,11
1997,Bosanska Dubica/Kozarska Dubica,8,Mile Gvozdenovic,31,1,32,0
1997,Prijedor,9,Bosanska Demokratska Unija Bosne I Herzegovine BDU BiH,201,119,320,0
1997,Prijedor,9,Srpska Radikalna Stranka Republike Srpske,6370,260,6630,6
1997,Prijedor,9,Srpska Demokratska Stranka (Srpskih Zemalja),14534,655,15189,14
1997,Prijedor,9,Srpska Patriotska Stranka - SPAS,2208,82,2290,2
1997,Prijedor,9,BOSS - Bosanska Stranka,59,48,107,0
1997,Prijedor,9,SNS RS,222,16,238,0
1997,Prijedor,9,Narodna Radikalna Stranka Nikola Pasic,1369,62,1431,1
1997,Prijedor,9,Demokratska Patriotska Stranka Republike Srpske,2080,85,2165,2
1997,Prijedor,9,Srpski Otadzbinski Front - (SOF),255,7,262,0
1997,Prijedor,9,Stranka Prosvjete i Zdravstva,78,7,85,0
1997,Prijedor,9,Demokratski Preporod Srpske (DPS),391,19,410,0
1997,Prijedor,9,Otadzbinska Stranka,225,16,241,0
1997,Prijedor,9,Srpska Stranka Krajine i Posavine,7098,237,7335,7
1997,Prijedor,9,Socijalno-liberalna Stranka RS (SLS),254,15,269,0
1997,Prijedor,9,Srpska Seljacka Stranka,770,34,804,0
1997,Prijedor,9,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,9043,315,9358,9
1997,Prijedor,9,ROF Nikola Pasic,211,11,222,0
1997,Prijedor,9,SRP BiH,57,22,79,0
1997,Prijedor,9,Narodna Stranka R.S-e,843,30,873,0
1997,Prijedor,9,SPD RS,183,14,197,0
1997,Prijedor,9,Racunajte na Nas,28,30,58,0
1997,Prijedor,9,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",383,25442,25825,24
1997,Prijedor,9,Udruzena Ljevica,122,21,143,0
1997,Prijedor,9,Mirko Curcija,43,13,56,0
1997,Prijedor,9,Milakovic Milorad,84,13,97,0
1997,Bosanska Gradiska/Gradiska,10,Srpska Radikalna Stranka Republike Srpske,2417,107,2524,4
1997,Bosanska Gradiska/Gradiska,10,Srpska Demokratska Stranka (Srpskih Zemalja),7939,217,8156,14
1997,Bosanska Gradiska/Gradiska,10,Srpska Patriotska Stranka - SPAS,2956,64,3020,5
1997,Bosanska Gradiska/Gradiska,10,SNS RS,151,5,156,0
1997,Bosanska Gradiska/Gradiska,10,Srpski Demokratski Savez RS,265,11,276,0
1997,Bosanska Gradiska/Gradiska,10,Narodna Radikalna Stranka Nikola Pasic,384,12,396,0
1997,Bosanska Gradiska/Gradiska,10,Srpski Otadzbinski Front - (SOF),262,10,272,0
1997,Bosanska Gradiska/Gradiska,10,Demokratska Stranka za Banja Luku i Krajinu,1337,42,1379,2
1997,Bosanska Gradiska/Gradiska,10,Stranka Nezavisnih Socijaldemokrata,2798,76,2874,5
1997,Bosanska Gradiska/Gradiska,10,Demokratski Preporod Srpske (DPS),221,5,226,0
1997,Bosanska Gradiska/Gradiska,10,Stranka Nezavisnih Socijaldemokrata,2798,76,2874,0
1997,Bosanska Gradiska/Gradiska,10,Demokratski Preporod Srpske (DPS),221,5,226,0
1997,Bosanska Gradiska/Gradiska,10,Stranka Srpskog Jedinstva Republike Srpske (SSJ),475,17,492,0
1997,Bosanska Gradiska/Gradiska,10,Srpska Stranka Krajine i Posavine,2132,33,2165,4
1997,Bosanska Gradiska/Gradiska,10,Socijalno-liberalna Stranka RS (SLS),136,5,141,0
1997,Bosanska Gradiska/Gradiska,10,Srpska Seljacka Stranka,621,11,632,0
1997,Bosanska Gradiska/Gradiska,10,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,3613,113,3726,7
1997,Bosanska Gradiska/Gradiska,10,ROF Nikola Pasic,144,1,145,0
1997,Bosanska Gradiska/Gradiska,10,SRP BiH,61,10,71,0
1997,Bosanska Gradiska/Gradiska,10,Narodna Stranka R.S-e,424,14,438,0
1997,Bosanska Gradiska/Gradiska,10,SPD RS,137,17,154,0
1997,Bosanska Gradiska/Gradiska,10,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",752,7367,8119,14
1997,Bosanska Gradiska/Gradiska,10,Udruzena Ljevica,279,14,293,0
1997,Laktasi,11,Srpska Radikalna Stranka Republike Srpske,1751,65,1816,7
1997,Laktasi,11,Srpska Demokratska Stranka (Srpskih Zemalja),2710,76,2786,11
1997,Laktasi,11,Srpska Patriotska Stranka - SPAS,1150,27,1177,5
1997,Laktasi,11,Srpski Demokratski Savez RS,136,2,138,0
1997,Laktasi,11,Demokratska Patriotska Stranka Republike Srpske,515,6,521,2
1997,Laktasi,11,Srpski Otadzbinski Front - (SOF),90,2,92,0
1997,Laktasi,11,Nova Radnicka Stranka RS,58,0,58,0
1997,Laktasi,11,Stranka Nezavisnih Socijaldemokrata,3347,79,3426,14
1997,Laktasi,11,Stranka Prosvjete i Zdravstva,63,11,74,0
1997,Laktasi,11,Demokratski Preporod Srpske (DPS),119,5,124,0
1997,Laktasi,11,Stranka Srpskog Jedinstva Republike Srpske (SSJ),289,9,298,1
1997,Laktasi,11,Srpska Stranka Krajine i Posavine,1307,23,1330,6
1997,Laktasi,11,Socijalno-liberalna Stranka RS (SLS),83,4,87,0
1997,Laktasi,11,Srpska Seljacka Stranka,706,20,726,3
1997,Laktasi,11,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,2462,77,2539,10
1997,Laktasi,11,ROF Nikola Pasic,72,1,73,0
1997,Laktasi,11,SRP BiH,11,5,16,0
1997,Laktasi,11,Narodna Stranka R.S-e,222,10,232,0
1997,Laktasi,11,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",39,228,267,0
1997,Laktasi,11,Udruzena Ljevica,281,9,290,1
1997,Laktasi,11,Mastalo Zlatan,14,6,20,0
1997,Laktasi,11,Ristic Cedo,35,6,41,0
1997,Laktasi,11,Miovan Vokovic,33,6,39,0
1997,Srbac,12,Srpska Radikalna Stranka Republike Srpske,821,61,882,5
1997,Srbac,12,Srpska Demokratska Stranka (Srpskih Zemalja),2235,124,2359,13
1997,Srbac,12,Srpska Patriotska Stranka - SPAS,398,14,412,2
1997,Srbac,12,Srpski Demokratski Savez RS,107,7,114,0
1997,Srbac,12,Srpski Otadzbinski Front - (SOF),334,13,347,2
1997,Srbac,12,Nova Radnicka Stranka RS,45,2,47,0
1997,Srbac,12,Stranka Nezavisnih Socijaldemokrata,2699,81,2780,15
1997,Srbac,12,Stranka Srpskog Jedinstva Republike Srpske (SSJ),195,7,202,1
1997,Srbac,12,Srpska Stranka Krajine i Posavine,568,19,587,3
1997,Srbac,12,Srpska Seljacka Stranka,427,13,440,2
1997,Srbac,12,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,2566,97,2663,15
1997,Srbac,12,SRP BiH,16,74,90,0
1997,Srbac,12,Narodna Stranka R.S-e,279,8,287,2
1997,Srbac,12,SPD RS,60,3,63,0
1997,Srbac,12,Udruzena Ljevica,143,16,159,0
1997,Prnjavor,13,Srpska Radikalna Stranka Republike Srpske,3034,158,3192,8
1997,Prnjavor,13,Srpska Demokratska Stranka (Srpskih Zemalja),9445,392,9837,24
1997,Prnjavor,13,Srpska Patriotska Stranka - SPAS,511,17,528,1
1997,Prnjavor,13,Srpski Demokratski Savez RS,345,1,346,0
1997,Prnjavor,13,Narodna Radikalna Stranka Nikola Pasic,367,4,371,0
1997,Prnjavor,13,Srpski Otadzbinski Front - (SOF),99,3,102,0
1997,Prnjavor,13,Stranka Prosvjete i Zdravstva,87,9,96,0
1997,Prnjavor,13,Radnicka Partija Republike Srpske (RPRS),164,1,165,0
1997,Prnjavor,13,Srpska Stranka Krajine i Posavine,2095,49,2144,5
1997,Prnjavor,13,Srpska Seljacka Stranka,1169,28,1197,3
1997,Prnjavor,13,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,3770,100,3870,10
1997,Prnjavor,13,ROF Nikola Pasic,76,1,77,0
1997,Prnjavor,13,Nezavisna Stranka Republike Srpske,118,4,122,0
1997,Prnjavor,13,Narodna Stranka R.S-e,144,8,152,0
1997,Prnjavor,13,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",293,3419,3712,9
1997,Prnjavor,13,Udruzena Ljevica,140,5,145,0
1997,Prnjavor,13,Aleksa Njedzic,235,15,250,0
1997,Prnjavor,13,Momir Bukovica,35,8,43,0
1997,Derventa,14,Hrvatska Krscanska Demokratska Unija BiH. (HKDU BiH),19,279,298,0
1997,Derventa,14,Hrvatska Seljacka Stranka BiH/HSS BiH/Sarajevo,14,1723,1737,4
1997,Derventa,14,Srpska Radikalna Stranka Republike Srpske,2786,127,2913,6
1997,Derventa,14,Srpska Demokratska Stranka (Srpskih Zemalja),6956,329,7285,15
1997,Derventa,14,Srpska Patriotska Stranka - SPAS,241,10,251,0
1997,Derventa,14,HDZ BiH,30,4445,4475,9
1997,Derventa,14,Ujedinjena Posavska Obitelj U.P.O HRZ BiH,10,247,257,0
1997,Derventa,14,Srpski Demokratski Savez RS,173,10,183,0
1997,Derventa,14,Srpski Otadzbinski Front - (SOF),42,0,42,0
1997,Derventa,14,Demokratski Preporod Srpske (DPS),177,3,180,0
1997,Derventa,14,Srpska Stranka Krajine i Posavine,1500,86,1586,3
1997,Derventa,14,Srpska Seljacka Stranka,394,16,410,0
1997,Derventa,14,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,3236,133,3369,7
1997,Derventa,14,ROF Nikola Pasic,47,3,50,0
1997,Derventa,14,SRP BiH,23,101,124,0
1997,Derventa,14,Nezavisna Stranka Republike Srpske,66,6,72,0
1997,Derventa,14,Narodna Stranka R.S-e,106,8,114,0
1997,Derventa,14,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",149,2996,3145,6
1997,Derventa,14,Pero Kozomara,76,104,180,0
1997,Bosanski Bord/Srpski Brod,16,Hrvatska Krscanska Demokratska Unija BiH. (HKDU BiH),1,114,115,0
1997,Bosanski Bord/Srpski Brod,16,Hrvatska Seljacka Stranka BiH/HSS BiH/Sarajevo,0,1049,1049,3
1997,Bosanski Bord/Srpski Brod,16,Srpska Radikalna Stranka Republike Srpske,962,50,1012,3
