file.id;txt_raw
103068;"3. sjednica Predstavnickog doma Parlamentarne skupstine BiH
- 15. januar 2015. -
CDS200 Ukupni rezultati glasa 15/01/2015 17:39
Glasanje br: 4313
Nacin glasanja: otvoreno
Prijedlog zakona o izmjenama i dopunama Zakona o placama i drugim naknadama
Tacka dnevnog reda: = u sudskim i tuzilackim institucijama na nivou BiH, predlagac: Vijece ministara BiH,
zakon broj: 01,02-02-1-31/14, od 22.7.2014. (drugo citanje)
Redni broj: 2
Glasanje o: Prijedlogu zakona u drugom citanju (s Amandmanom i Zakljuckom sadrzanim u
Izvjestaju Komisije za finansije i budzet)
Tip glasanja:
Prisutno 29
Ukupno 28
ZA 21
SUZDRZAN 2
PROTIV 5
4 Sefik Dzaferovic 4: PH Delegate FBiH ZA
5 Borjana Kristo 4: PH Delegate FBiH ZA
6 Mladen Bosic 5: PH Delegate RS PROTIV
19 Asim Sarajlic 4: PH Delegate FBiH ZA
20 Safer Demirovic 4: PH Delegate FBiH ZA
21 Amir Fazlic 4: PH Delegate FBiH ZA
22 Halid Genjac 4: PH Delegate FBiH ZA
23 Nermina Kapetanovic 4: PH Delegate FBiH ZA
24 Semsudin Mehmedovic 4: PH Delegate FBiH ZA
25 Salko Sokolovic 4: PH Delegate FBiH ZA
26 Senad Sepic 4: PH Delegate FBiH ZA
27 Sadik Ahmetovic 5: PH Delegate RS ZA
29 Zeljko Komsic 4: PH Delegate FBiH ZA
30 Damir Becirovic 4: PH Delegate FBiH ZA
31 Mensura Beganovic 4: PH Delegate FBiH ZA
32 Jovan Vukovljak 5: PH Delegate RS Nije prisutan
33 Miroslav Milovanovic 5: PH Delegate RS Nije prisutan
34 Lazar Prodanovic 5: PH Delegate RS Nije prisutan
35 Milica Markovic 5: PH Delegate RS Nije prisutan
36 Dusanka Majkic 5: PH Delegate RS Nije prisutan
37 Stasa Kosarac 5: PH Delegate RS Nije prisutan
38 Nikola Spiric 5: PH Delegate RS Nije prisutan
39 Maja Gasal-Vrazalica 4: PH Delegate FBiH SUZDRZAN
40 Hanka Vajzovic 4: PH Delegate FBiH SUZDRZAN
41 Vjekoslav Bevanda 4: PH Delegate FBiH ZA
42 Monika Tomic 4: PH Delegate FBiH Nije prisutan
43 Nikola Lovrinovic 4: PH Delegate FBiH ZA
44 Diana Zelenika 4: PH Delegate FBiH ZA
45 Nenad Lalic 5: PH Delegate RS PROTIV
46 Dordo Krcmar 5: PH Delegate RS PROTIV
47 Borislav Bojic 5: PH Delegate RS PROTIV
48 Aleksandra Pandurevic 5: PH Delegate RS PROTIV
49 Mirsad Donlagic 4: PH Delegate FBiH Nije prisutan
50 Damir Arnaut 4: PH Delegate FBiH Nije prisutan
51 Mirsad Isakovic 4: PH Delegate FBiH Nije prisutan
52 Fehim Skaljic 4: PH Delegate FBiH Nije prisutan
53 Mirsad Mesic 4: PH Delegate FBiH ZA
54 Denis Becirovic 4: PH Delegate FBiH Nije glasao
55 Sasa Magazinovic 4: PH Delegate FBiH ZA
56 Zaim Backovic 4: PH Delegate FBiH ZA
57 Jasmin Emric 4: PH Delegate FBiH ZA
58 Momcilo Novakovic 5: PH Delegate RS Nije prisutan
99 Govornica 2: NH Croation FBiH Nije dozvoljeno
Kraj liste
_——__T__za_T{ PROTIV {| SUZDRZAN |_NIJE GLASAO | NIJE PRISUTAN | —_UKUPNO_—_U
ZA I I I I I EI PTT
RS dP STO 0 | 8 ad
JUKUPNO | 21 Sd 2 1 BOT PO
25
20 KA
15 —————VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVOVVVVVVVOOOOOOOOOOO
m RS
10 o = FBiH
5 ), —— ——  — —  — — — — — — — — — — — — — —  — — —— nn
, No __ HF
ZA PROTIV SUZDRZAN NIJE GLASAO NIJE PRISUTAN
"
103084;"72. sjednica Predstavnickog doma Parlamentarne skupstine BiH
- 04. septembar 2014. -
CDS200 Ukupni rezultati glasa 04/09/2014 16:15
Glasanje br: 4227
Nacin glasanja: otvoreno
Prijedlog zakona o izmjenama i dopunama Zakona o platama i drugim naknadama
Tacka dnevnog reda: = u sudskim i tuzilackim institucijama na nivou Bosne i Hercegovine, predlagac:
Vijece ministara BiH
Redni broj: 5
Glasanje o: Prijedlogu zakona, prvo citanje
Tip glasanja:
Prisutno 36
Ukupno 32
ZA 23
SUZDRZAN 0
PROTIV 9
4 Milorad Zivkovic 5: PH Delegate RS PROTIV
5 Bozo Ljubic 4: PH Delegate FBiH ZA
6 Denis Becirovic 4: PH Delegate FBiH ZA
19 Sasa Magazinovic 4: PH Delegate FBiH ZA
20 Anto Domazet 4: PH Delegate FBiH ZA
21 Mirza Kusljugic 4: PH Delegate FBiH ZA
22 Mirsad Mesic 4: PH Delegate FBiH ZA
23 Nermina Zaimovic-Uzunovic 4: PH Delegate FBiH ZA
24 Nermina Cemalovic 4: PH Delegate FBiH ZA
25 Danijela Martinovic 4: PH Delegate FBiH ZA
26 Slavko Jovicic 5: PH Delegate RS Nije glasao
27 Drago Kalabic 5: PH Delegate RS PROTIV
29 Asim Sarajlic 4: PH Delegate FBiH ZA
30 Semsudin Mehmedovic 4: PH Delegate FBiH ZA
31 Sefik Dzaferovic 4: PH Delegate FBiH Nije glasao
32 Salko Sokolovic 4: PH Delegate FBiH ZA
33 Petar Kunic 5: PH Delegate RS PROTIV
34 Sasa Bursac 5: PH Delegate RS PROTIV
35 Bosko Tomic 5: PH Delegate RS PROTIV
36 Lazar Prodanovic 5: PH Delegate RS PROTIV
37 Milica Markovic 5: PH Delegate RS Nije prisutan
38 Dusanka Majkic 5: PH Delegate RS Nije prisutan
39 Amir Fazlic 4: PH Delegate FBiH ZA
40 Zijad Jagodic 4: PH Delegate FBiH ZA
41 Senad Sepic 4: PH Delegate FBiH ZA
42 Mato Franjicevic 4: PH Delegate FBiH ZA
43 Niko Lozancic 4: PH Delegate FBiH ZA
44 Dragan Vrankic 4: PH Delegate FBiH ZA
45 Aleksandra Pandurevic 5: PH Delegate RS PROTIV
46 Mladen Bosic 5: PH Delegate RS Nije glasao
47 Borislav Bojic 5: PH Delegate RS PROTIV
48 Darko Babalj 5: PH Delegate RS Nije prisutan
49 Adnan Basic 4: PH Delegate FBiH Nije prisutan
50 Mirsad Dugum 4: PH Delegate FBiH Nije prisutan
51 Ismeta Dervoz 4: PH Delegate FBiH ZA
52 Emir Kabil 4: PH Delegate FBiH Nije prisutan
53 Zvonko Jurisic 4: PH Delegate FBiH Nije glasao
54 Mladen Ivankovic-Lijanovic 4: PH Delegate FBiH ZA
55 Nermin Puric 4: PH Delegate FBiH ZA
56 Vesna Krstovic-Spremo 5: PH Delegate RS PROTIV
57 Azra Hadziahmetovic 4: PH Delegate FBiH ZA
58 Beriz Belkic 4: PH Delegate FBiH ZA
99 Govornica 2: NH Croation FBiH Nije dozvoljeno
Kraj liste
|_——__T__ZA_{| PROTIV | SUZDRZAN |_NIJE GLASAO | NIJE PRISUTAN | —_UKUPNO_—_U
FBiH | 23 O O | 2 | 3 a U
KA NI I I I I I TV TU
JUKUPNO | 23 9 O | da 6 | Pa Ud
25
20 — — — OOOOOOOOOOOOOOOOOGOGOGOGOGOGOGVGV53|)
15 — — — OOOOOOOOOOOOOOOOOGOGOGOGOGOGOGVGV53|)
m RS
10 — ——— O M FBiH
; E = EZ
0
ZA PROTIV SUZDRZAN = NIJE GLASAO NIJE PRISUTAN
"
